message_id,consult_order_id,sender_id,sender_role,recipient_provider_id,message_sent_timestamp,message_read_timestamp,channel,message_outcome
MSG-0000001,CONS-0000001,RN-00174,Registered Nurse,DOC-0051,2024-11-19 06:26:38,2024-11-19 06:38:53,Legacy Pager,Left Voicemail
MSG-0000002,CONS-0000001,RN-00174,Registered Nurse,DOC-0051,2024-11-19 06:47:38,2024-11-19 07:35:46,Legacy Pager,Read & Acknowledged
MSG-0000003,CONS-0000002,RN-00004,Registered Nurse,DOC-0074,2024-11-19 06:48:23,2024-11-19 06:57:11,Secure App Chat,Read & Acknowledged
MSG-0000004,CONS-0000002,RN-00004,Registered Nurse,DOC-0074,2024-11-19 07:07:23,2024-11-19 07:08:46,Vocera Badge Call,Read & Acknowledged
MSG-0000005,CONS-0000003,RN-00159,Registered Nurse,DOC-0053,2024-11-15 08:46:00,2024-11-15 08:46:30,Secure App Chat,Read & Acknowledged
MSG-0000006,CONS-0000003,RN-00159,Registered Nurse,DOC-0053,2024-11-15 09:43:00,2024-11-15 09:54:05,Secure App Chat,Read & Acknowledged
MSG-0000007,CONS-0000003,RN-00159,Registered Nurse,DOC-0053,2024-11-15 10:00:00,,Legacy Pager,Unread
MSG-0000008,CONS-0000004,RN-00036,Registered Nurse,DOC-0070,2024-11-18 19:24:21,2024-11-18 19:24:59,Vocera Badge Call,Read - No Response
MSG-0000009,CONS-0000005,RN-00086,Registered Nurse,DOC-0097,2024-11-13 13:14:20,,Legacy Pager,Unread
MSG-0000010,CONS-0000005,RN-00086,Registered Nurse,DOC-0097,2024-11-13 14:10:20,2024-11-13 14:45:14,Phone Call to Office,Answered Live
MSG-0000011,CONS-0000005,RN-00086,Registered Nurse,DOC-0097,2024-11-13 14:47:20,2024-11-13 15:33:24,Phone Call to Office,Left Voicemail
MSG-0000012,CONS-0000006,RN-00180,Registered Nurse,DOC-0081,2024-11-17 18:21:28,2024-11-17 18:33:15,Secure App Chat,Read & Acknowledged
MSG-0000013,CONS-0000006,RN-00180,Registered Nurse,DOC-0081,2024-11-17 18:45:28,2024-11-17 18:53:10,Secure App Chat,Read & Acknowledged
